id,em portugues,en español
5546,Dados abertos de indicadores,Datos abiertos de indicadores
5548,Cidades,Ciudades
5550,Todas,Todas
5552,"Nenhuma região, apenas a cidade","Ninguna región, sólo la ciudad"
5554,Indicador,Indicador
5556,Todos,Todos
5558,Formato,Formato
5568,Links,Links/Enlaces
5570,Arquivo de indicadores,Archivo de indicadores
5572,Efetuar download dos indicadores,Efectuar download de los indicadores
5574,O arquivo de indicador contém as seguintes informações,El archivo de indicador contiene la siguiente información
5576,Nome da cidade,Nombre de la ciudad
5578,Nome do indicador,Nombre del indicador
5580,Data,Fecha
5582,Valor,Valor
5584,ID da cidade,ID de la ciudad
5586,Eixo,Eje
5588,ID Indicador,ID Indicador
5590,Formula do indicador,Fórmula del indicador
5592,Meta do indicador,Meta del indicador
5594,Descrição da meta do indicador,Descripción de la meta del indicador
5596,Fonte da meta do indicador,Fuente de la meta del indicador
5598,Operação da meta do indicador,Operación de la meta del indicador
5600,Descrição do indicador,Descripción del indicador
5602,Tags do indicador,Tags del indicador
5604,Observações do indicador,Observaciones del indicador
5606,Período do indicador,Período del indicador
5608,Faixa,Intervalo
5610,Meta do valor,Meta del valor
5612,Justificativa do valor não preenchido,Justificación del valor no completado
5614,Região,Región
5616,se existir,si existiera
5618,Fontes,Fuentes
5620,Arquivo de variáveis,Archivo de variables
5622,Efetuar download das variáveis,Efectuar download de las variables
5624,O arquivo de variável contém as seguintes informações,El archivo de variables contiene la siguiente información
5626,Nome,Nombre
5630,Tipo,Tipo
5632,Apelido,Apodo
5634,Período de atualização,Período de actualización
5636,Fonte,Fuente
5638,É Básica?,¿Es Básica?
5640,Unidade de medida,Unidad de medida
5642,Observações,Observaciones
5644,Fonte do valor,Fuente del valor
5646,Mapa do site,Mapa del sitio
5648,Dados abertos,Datos abiertos
5650,Contato,Contacto
5652,Realização,Realización
5654,Instituto Ethos de Empresas e Responsabilidade Social,Instituto Ethos de Empresas y Responsabilidad Social
5656,Rede Social Brasileira por Cidades Justas e Sustentaveis,Red Social Brasileña por Ciudades Justas y Sustentables
5658,Apoio,Apoyo
5660,Arapyaú,Arapyaú
5664,A Tarde,A Tarde
5666,Abril,Abril
5670,Editora Globo,Editora Globo
5672,Meio Norte,Meio Norte
5674,Rede Globo,Rede Globo
5676,Parceiros Nacionais,Socios/ aliados Nacionales
5680,Afobras,Afobras
5682,Akatu,Akatu
5686,Cenpec,Cenpec
5688,Cinco Elementos,Cinco Elementos
5690,Democracia e Sustentabilidade,Democracia y Sustentabilidad
5692,Dieese,Dieese
5696,Escola de Governo,Escuela de Gobierno
5698,Famurs,Famurs
5700,Frente Nacional de Prefeitos,Frente Nacional de Alcaldes
5702,Gife,Gife
5704,Greenpeace,Greenpeace
5706,Mobilize,Mobilize
5708,OAB Conselho Federal,OAB Conselho Federal
5710,ONU Habitat,ONU Habitat
5712,Pnuma,Pnuma
5714,Sesc,Sesc
5716,Socioambiental,Socio-ambiental
5718,Transition Brasil,Transition Brasil
5720,Trata Brasil,Trata Brasil
5722,Unicef,Unicef
5724,Vitae Civilis,Vitae Civilis
5728,Parceiros Internacionais,Socios/ aliados Internacionales
5730,Aalborg,Aalborg
5732,Conama,Conama
5734,Eco City Builders,Eco City Builders
5736,Ecodes,Ecodes
5738,New Cities Foundation,New Cities Foundation
5740,Sustainable Cities,Sustainable Cities
5742,Patrocinadores,Patrocinadores
5746,Ambipar,Ambipar
5748,Anamma,Anamma
5750,Atletas pela Cidadania,Atletas por la Ciudadanía
5752,Bradesco,Bradesco
5754,Brf,Brf
5756,Coteminas,Coteminas
5758,CPFL Energia,CPFL Energia
5760,Cyrela,Cyrela
5762,Dualtec,Dualtec
5764,Embraer,Embraer
5766,Ford Foundation,Ford Foundation
5770,Itaipu Binacional,Itaipu Binacional
5772,Itaú,Itaú
5774,Natura,Natura
5776,Nestlé,Nestlé
5778,Porto Seguro,Porto Seguro
5780,Promon,Promon
5782,Safra,Safra
5784,Santander,Santander
5786,Semeia,Semeia
5788,Suzano,Suzano
5790,Vale,Vale
5960,Rede de esgoto (domicílios sem ligação com a rede de esgoto),Red de desagües (domicilios sin conexión con la red de desagües)
5962,Reservas e Áreas Protegidas,Reservas y Áreas Protegidas
6182,Número de quilômetros de ciclovias permanentes,Número de kilómetros de ciclovías permanentes
6184,Número de quilômetros de rede de corredores exclusivos de ônibus,Número de kilómetros de red de corredores exclusivos de autobuses
6186,Número de secretarias de governo que possuem conselhos municipais com participação d sociedade,Número de secretarías de gobierno que poseen consejos municipales con participación de la sociedad
6188,Número de vagas disponíveis em serviços de assistência social,Número de vacantes disponibles en servicios de asistencia social
6190,Número de vagas públicas para a prática desportiva orientada,Número de vacantes públicas para la práctica orientada de deportes
6192,Número total da população em situação de rua que foi acolhida,Número total de la población en situación de vida en la calle que fue acogida
6194,Número total da população em situação de rua que foi acolhida na região,Número total de la población en situación de vida en la calle que fue acogida en la región
6196,Número total de  telecentros da cidade,Número total de telecentros de la ciudad
6198,Número total de  unidades esportivas públicas  da cidade,Número total de unidades deportivas públicas de la ciudad
6200,Número total de acidentes com vítimas com automóvel,Número total de accidentes con víctimas por automóvil
6202,Número total de acidentes com vítimas com bicicleta,Número total de accidentes con víctimas por bicicleta
6204,Número total de acidentes com vítimas com motocicleta,Número total de accidentes con víctimas por motocicleta
6206,Número total de acidentes de trânsito no município,Número total de accidentes de tránsito en el municipio
6208,Número total de adolescentes com 19 anos ou menos responsáveis pelo domicílio,Número total de adolescentes de 19 años o menos responsables por el domicilio
6210,Número total de alunos com 2 anos ou mais de defasagem em relação a idade ideal no ensino fundamental,Número total de alumnos con 2 años o más de desfasaje en relación a la edad ideal en la enseñanza primaria
5792,Votorantin,Votorantin
5796,Walmart,Walmart
5798,Download,Download/Descarga
5800,Eixos,Ejes
5802,Cidades Participantes,Ciudades Participantes
5804,Apresentação,Presentación
5806,A Plataforma,La Plataforma
5808,Histórico,Historial/Antecedentes
